article,chunk_name,png_path,code,functions,function_labels
301-custom-lollipop-chart,thecode-1,images/301-custom-lollipop-chart/thecode-1.png,"# Library
library(tidyverse)
 
# Create data
data <- data.frame(
  x=LETTERS[1:26],
  y=abs(rnorm(26))
)
 
# plot
ggplot(data, aes(x=x, y=y)) +
  geom_segment( aes(x=x, xend=x, y=0, yend=y)) +
  geom_point( size=5, color=""red"", fill=alpha(""orange"", 0.3), alpha=0.7, shape=21, stroke=2) ","library,<-,data.frame,[,:,abs,rnorm,+,ggplot,aes,geom_segment,geom_point,alpha","geom_segment,geom_point"
301-custom-lollipop-chart,thecode2-1,images/301-custom-lollipop-chart/thecode2-1.png,"# Libraries
library(ggplot2)

# Create data
data <- data.frame(
  x=LETTERS[1:26],
  y=abs(rnorm(26))
)

# Plot
ggplot(data, aes(x=x, y=y)) +
  geom_segment( aes(x=x, xend=x, y=0, yend=y) , size=1, color=""blue"", linetype=""dotdash"" ) +
  geom_point()","library,<-,data.frame,[,:,abs,rnorm,+,ggplot,aes,geom_segment,geom_point","geom_segment,geom_point"
301-custom-lollipop-chart,thecode3-1,images/301-custom-lollipop-chart/thecode3-1.png,"# Libraries
library(ggplot2)

# Create data
data <- data.frame(
  x=LETTERS[1:26],
  y=abs(rnorm(26))
)

# Plot
ggplot(data, aes(x=x, y=y)) +
  geom_segment( aes(x=x, xend=x, y=0, yend=y), color=""grey"") +
  geom_point( color=""orange"", size=4) +
  theme_light() +
  theme(
    panel.grid.major.x = element_blank(),
    panel.border = element_blank(),
    axis.ticks.x = element_blank()
  ) +
  xlab("""") +
  ylab(""Value of Y"")","library,<-,data.frame,[,:,abs,rnorm,+,ggplot,aes,geom_segment,geom_point,theme_light,theme,element_blank,xlab,ylab","geom_segment,geom_point"
301-custom-lollipop-chart,thecode4-1,images/301-custom-lollipop-chart/thecode4-1.png,"# Libraries
library(ggplot2)

# Create data
data <- data.frame(
  x=LETTERS[1:26],
  y=abs(rnorm(26))
)

# Horizontal version
ggplot(data, aes(x=x, y=y)) +
  geom_segment( aes(x=x, xend=x, y=0, yend=y), color=""skyblue"") +
  geom_point( color=""blue"", size=4, alpha=0.6) +
  theme_light() +
  coord_flip() +
  theme(
    panel.grid.major.y = element_blank(),
    panel.border = element_blank(),
    axis.ticks.y = element_blank()
  )","library,<-,data.frame,[,:,abs,rnorm,+,ggplot,aes,geom_segment,geom_point,theme_light,coord_flip,theme,element_blank","geom_segment,geom_point"
301-custom-lollipop-chart,thecode5-1,images/301-custom-lollipop-chart/thecode5-1.png,"# Libraries
library(ggplot2)

# Create data
data <- data.frame(
  x=LETTERS[1:26],
  y=abs(rnorm(26))
)

# Change baseline
ggplot(data, aes(x=x, y=y)) +
  geom_segment( aes(x=x, xend=x, y=1, yend=y), color=""grey"") +
  geom_point( color=""orange"", size=4) +
  theme_light() +
  theme(
    panel.grid.major.x = element_blank(),
    panel.border = element_blank(),
    axis.ticks.x = element_blank()
  ) +
  xlab("""") +
  ylab(""Value of Y"")
","library,<-,data.frame,[,:,abs,rnorm,+,ggplot,aes,geom_segment,geom_point,theme_light,theme,element_blank,xlab,ylab","geom_segment,geom_point"
302-lollipop-chart-with-conditional-color,thecode-1,images/302-lollipop-chart-with-conditional-color/thecode-1.png,"# library
library(ggplot2)
library(dplyr)

# Create data (this takes more sense with a numerical X axis)
x <- seq(0, 2*pi, length.out=100)
data <- data.frame(
  x=x, 
  y=sin(x) + rnorm(100, sd=0.2)
)
 
# Add a column with your condition for the color
data <- data %>% 
  mutate(mycolor = ifelse(y>0, ""type1"", ""type2""))
 
# plot
ggplot(data, aes(x=x, y=y)) +
  geom_segment( aes(x=x, xend=x, y=0, yend=y, color=mycolor), size=1.3, alpha=0.9) +
  theme_light() +
  theme(
    legend.position = ""none"",
    panel.border = element_blank(),
  ) +
  xlab("""") +
  ylab(""Value of Y"")","library,<-,seq,*,data.frame,+,sin,rnorm,%>%,mutate,ifelse,>,ggplot,aes,geom_segment,theme_light,theme,element_blank,xlab,ylab",geom_segment
303-lollipop-plot-with-2-values,thecode-1,images/303-lollipop-plot-with-2-values/thecode-1.png,"# Library
library(ggplot2)
library(dplyr)
library(hrbrthemes)

# Create data
value1 <- abs(rnorm(26))*2
data <- data.frame(
  x=LETTERS[1:26], 
  value1=value1, 
  value2=value1+1+rnorm(26, sd=1) 
)
 
# Reorder data using average? Learn more about reordering in chart #267
data <- data %>% 
  rowwise() %>% 
  mutate( mymean = mean(c(value1,value2) )) %>% 
  arrange(mymean) %>% 
  mutate(x=factor(x, x))
 
# Plot
ggplot(data) +
  geom_segment( aes(x=x, xend=x, y=value1, yend=value2), color=""grey"") +
  geom_point( aes(x=x, y=value1), color=rgb(0.2,0.7,0.1,0.5), size=3 ) +
  geom_point( aes(x=x, y=value2), color=rgb(0.7,0.2,0.1,0.5), size=3 ) +
  coord_flip()+
  theme_ipsum() +
  theme(
    legend.position = ""none"",
  ) +
  xlab("""") +
  ylab(""Value of Y"")","library,<-,*,abs,rnorm,data.frame,[,:,+,%>%,rowwise,mutate,mean,c,arrange,factor,ggplot,geom_segment,aes,geom_point,rgb,coord_flip,theme_ipsum,theme,xlab,ylab","geom_segment,geom_point"
304-highlight-a-group-in-lollipop,thecode-1,images/304-highlight-a-group-in-lollipop/thecode-1.png,"# Library
library(ggplot2)
library(dplyr)
library(hrbrthemes)

# Create data
set.seed(1000)
data <- data.frame(
  x=LETTERS[1:26], 
  y=abs(rnorm(26))
)
 
# Reorder the data
data <- data %>%
  arrange(y) %>%
  mutate(x=factor(x,x))
  
# Plot
p <- ggplot(data, aes(x=x, y=y)) +
  geom_segment(
    aes(x=x, xend=x, y=0, yend=y), 
    color=ifelse(data$x %in% c(""A"",""D""), ""orange"", ""grey""), 
    size=ifelse(data$x %in% c(""A"",""D""), 1.3, 0.7)
  ) +
  geom_point(
    color=ifelse(data$x %in% c(""A"",""D""), ""orange"", ""grey""), 
    size=ifelse(data$x %in% c(""A"",""D""), 5, 2)
  ) +
  theme_ipsum() +
  coord_flip() +
  theme(
    legend.position=""none""
  ) +
  xlab("""") +
  ylab(""Value of Y"") +
  ggtitle(""How did groups A and D perform?"")

# Add annotation
p + annotate(""text"", x=grep(""D"", data$x), y=data$y[which(data$x==""D"")]*1.2, 
           label=""Group D is very impressive"", 
           color=""orange"", size=4 , angle=0, fontface=""bold"", hjust=0) + 
  
    annotate(""text"", x = grep(""A"", data$x), y = data$y[which(data$x==""A"")]*1.2, 
           label = paste(""Group A is not too bad\n (val="",data$y[which(data$x==""A"")] %>% round(2),"")"",sep="""" ) , 
           color=""orange"", size=4 , angle=0, fontface=""bold"", hjust=0) 
  
","library,set.seed,<-,data.frame,[,:,abs,rnorm,%>%,arrange,mutate,factor,+,ggplot,aes,geom_segment,ifelse,%in%,$,c,geom_point,theme_ipsum,coord_flip,theme,xlab,ylab,ggtitle,annotate,grep,*,which,==,paste,round","geom_segment,geom_point"
305-basic-circle-packing-with-one-level,thecode-1,images/305-basic-circle-packing-with-one-level/thecode-1.png,"# Libraries
library(packcircles)
library(ggplot2)
 
# Create data
data <- data.frame(group=paste(""Group"", letters[1:20]), value=sample(seq(1,100),20)) 
 
# Generate the layout. This function return a dataframe with one line per bubble. 
# It gives its center (x and y) and its radius, proportional of the value
packing <- circleProgressiveLayout(data$value, sizetype='area')
 
# We can add these packing information to the initial data frame
data <- cbind(data, packing)
 
# Check that radius is proportional to value. We don't want a linear relationship, since it is the AREA that must be proportionnal to the value
# plot(data$radius, data$value)
 
# The next step is to go from one center + a radius to the coordinates of a circle that
# is drawn by a multitude of straight lines.
dat.gg <- circleLayoutVertices(packing, npoints=50)
 
# Make the plot
ggplot() + 
  
  # Make the bubbles
  geom_polygon(data = dat.gg, aes(x, y, group = id, fill=as.factor(id)), colour = ""black"", alpha = 0.6) +
  
  # Add text in the center of each bubble + control its size
  geom_text(data = data, aes(x, y, size=value, label = group)) +
  scale_size_continuous(range = c(1,4)) +
  
  # General theme:
  theme_void() + 
  theme(legend.position=""none"") +
  coord_equal()","library,<-,data.frame,paste,[,:,sample,seq,circleProgressiveLayout,$,cbind,circleLayoutVertices,+,ggplot,geom_polygon,aes,as.factor,geom_text,scale_size_continuous,c,theme_void,theme,coord_equal","circleProgressiveLayout,circleLayoutVertices,geom_polygon,geom_text"
306-custom-circle-packing-with-one-level,thecode-1,images/306-custom-circle-packing-with-one-level/thecode-1.png,"# libraries
library(packcircles)
library(ggplot2)
library(viridis)
 
# Create data
data <- data.frame(group=paste(""Group"", letters[1:20]), value=sample(seq(1,100),20)) 
 
# Generate the layout. sizetype can be area or radius, following your preference on what to be proportional to value.
packing <- circleProgressiveLayout(data$value, sizetype='area')
data <- cbind(data, packing)
dat.gg <- circleLayoutVertices(packing, npoints=50)
 
# Basic color customization
ggplot() + 
  geom_polygon(data = dat.gg, aes(x, y, group = id, fill=as.factor(id)), colour = ""black"", alpha = 0.6) +
  scale_fill_manual(values = magma(nrow(data))) +
  geom_text(data = data, aes(x, y, size=value, label = group)) +
  scale_size_continuous(range = c(1,4)) +
  theme_void() + 
  theme(legend.position=""none"") +
  coord_equal()
 ","library,<-,data.frame,paste,[,:,sample,seq,circleProgressiveLayout,$,cbind,circleLayoutVertices,+,ggplot,geom_polygon,aes,as.factor,scale_fill_manual,magma,nrow,geom_text,scale_size_continuous,c,theme_void,theme,coord_equal","circleProgressiveLayout,circleLayoutVertices,geom_polygon,geom_text"
306-custom-circle-packing-with-one-level,thecode2-1,images/306-custom-circle-packing-with-one-level/thecode2-1.png,"# First I need to add the 'value' of each group to dat.gg.
# Here I repeat each value 51 times since I create my polygons with 50 lines
dat.gg$value <- rep(data$value, each=51)

# Plot
ggplot() + 
  
  # Make the bubbles
  geom_polygon(data = dat.gg, aes(x, y, group = id, fill=value), colour = ""black"", alpha = 0.6) +
  scale_fill_distiller(palette = ""BuPu"", direction = 1 ) +
 
  # Add text in the center of each bubble + control its size
  geom_text(data = data, aes(x, y, size=value, label = group)) +
  scale_size_continuous(range = c(1,4)) +
 
  # General theme:
  theme_void()  + 
  theme(legend.position=""none"") + 
  coord_equal()
 ","<-,$,rep,+,ggplot,geom_polygon,aes,scale_fill_distiller,geom_text,scale_size_continuous,c,theme_void,theme,coord_equal","geom_polygon,geom_text"
306-custom-circle-packing-with-one-level,thecode3-1,images/306-custom-circle-packing-with-one-level/thecode3-1.png,"ggplot() + 
  
  # Make the bubbles
  geom_polygon(data = dat.gg, aes(x, y, group = id, fill=value), colour = ""grey"", alpha = 0.6, size=.5) +
  scale_fill_distiller(palette = ""Spectral"", direction = 1 ) +
  
  # Add text in the center of each bubble + control its size
  geom_label(data = data, aes(x, y, size=value, label = group)) +
  scale_size_continuous(range = c(1,4)) +
  
  # General theme:
  theme_void()  + 
  theme(
    legend.position=""none"",
    plot.background = element_rect(fill=""black""),
    plot.title = element_text(color=""white"") 
  ) + 
  coord_equal() +
  ggtitle(""A custom circle packing with\nblack background"")","+,ggplot,geom_polygon,aes,scale_fill_distiller,geom_label,scale_size_continuous,c,theme_void,theme,element_rect,element_text,coord_equal,ggtitle","geom_polygon,geom_label"
307-add-space-in-circle-packing,thecode-1,images/307-add-space-in-circle-packing/thecode-1.png,"# libraries
library(packcircles)
library(ggplot2)
library(viridis)

# Create data
data <- data.frame(group=paste(""Group"", letters[1:20]), value=sample(seq(1,100),20)) 

# Generate the layout
packing <- circleProgressiveLayout(data$value, sizetype='area')
packing$radius <- 0.95*packing$radius
data <- cbind(data, packing)
dat.gg <- circleLayoutVertices(packing, npoints=50)

# Plot 
ggplot() + 
  geom_polygon(data = dat.gg, aes(x, y, group = id, fill=id), colour = ""black"", alpha = 0.6) +
  scale_fill_viridis() +
  geom_text(data = data, aes(x, y, size=value, label = group), color=""black"") +
  theme_void() + 
  theme(legend.position=""none"")+ 
  coord_equal()","library,<-,data.frame,paste,[,:,sample,seq,circleProgressiveLayout,$,*,cbind,circleLayoutVertices,+,ggplot,geom_polygon,aes,scale_fill_viridis,geom_text,theme_void,theme,coord_equal","circleProgressiveLayout,circleLayoutVertices,geom_polygon,geom_text"
31-custom-colors-in-dendrogram,thecode8-1,images/31-custom-colors-in-dendrogram/thecode8-1.png,"# Build dataset (just copy and paste, this is NOT interesting)
sample <- paste(rep(""sample_"",24) , seq(1,24) , sep="""")
specie <- c(rep(""dicoccoides"" , 8) , rep(""dicoccum"" , 8) , rep(""durum"" , 8))
treatment <- rep(c(rep(""High"",4 ) , rep(""Low"",4)),3)
data <- data.frame(sample,specie,treatment)
for (i in seq(1:5)){
  gene=sample(c(1:40) , 24 )
  data=cbind(data , gene)
  colnames(data)[ncol(data)]=paste(""gene_"",i,sep="""")
 }
data[data$treatment==""High"" , c(4:8)]=data[data$treatment==""High"" , c(4:8)]+100
data[data$specie==""durum"" , c(4:8)]=data[data$specie==""durum"" , c(4:8)]-30
rownames(data) <- data[,1]    

# Have a look to the dataset
# head(data)

# Compute Euclidean distance between samples
dist=dist(data[ , c(4:8)] , diag=TRUE)

# Perfor clustering with hclust
hc <- hclust(dist)
dhc <- as.dendrogram(hc)

# Actually, each leaf of the tree has several attributes, like the color, the shape.. Have a look to it: 
specific_leaf <- dhc[[1]][[1]][[1]]
# specific_leaf
# attributes(specific_leaf)

#So if I Want to color each leaf of the Tree, I have to change the attribute of each leaf. This can be done using the dendrapply function. So I create a function that # # add 3 attributes to the leaf : one for the color (“lab.col”) ,one for the font “lab.font” and one for the size (“lab.cex”).
i=0
colLab<<-function(n){
    if(is.leaf(n)){
        
        #I take the current attributes
        a=attributes(n)
        
        #I deduce the line in the original data, and so the treatment and the specie.
        ligne=match(attributes(n)$label,data[,1])
        treatment=data[ligne,3];
            if(treatment==""Low""){col_treatment=""blue""};if(treatment==""High""){col_treatment=""red""}
        specie=data[ligne,2];
            if(specie==""dicoccoides""){col_specie=""red""};if(specie==""dicoccum""){col_specie=""Darkgreen""};if(specie==""durum""){col_specie=""blue""}
        
        #Modification of leaf attribute
        attr(n,""nodePar"")<-c(a$nodePar,list(cex=1.5,lab.cex=1,pch=20,col=col_treatment,lab.col=col_specie,lab.font=1,lab.cex=1))
        }
    return(n)
}

# Finally I just have to apply this to my dendrogram
dL <- dendrapply(dhc, colLab)
 
# And the plot
plot(dL , main=""structure of the population"")
legend(""topright"", 
     legend = c(""High Nitrogen"" , ""Low Nitrogen"" , ""Durum"" , ""Dicoccoides"" , ""Dicoccum""), 
     col = c(""red"", ""blue"" , ""blue"" , ""red"" , ""Darkgreen""), 
     pch = c(20,20,4,4,4), bty = ""n"",  pt.cex = 1.5, cex = 0.8 , 
     text.col = ""black"", horiz = FALSE, inset = c(0, 0.1))","<-,paste,rep,seq,c,data.frame,for,:,{,=,sample,cbind,[,colnames,ncol,==,$,+,-,rownames,dist,hclust,as.dendrogram,[[,<<-,function,if,is.leaf,attributes,match,attr,list,return,dendrapply,plot,legend",
311-add-labels-to-hierarchical-edge-bundling,thecode2-1,images/311-add-labels-to-hierarchical-edge-bundling/thecode2-1.png,"# Create a graph object
mygraph <- igraph::graph_from_data_frame( edges, vertices=vertices )
 
# The connection object must refer to the ids of the leaves:
from  <-  match( connect$from, vertices$name)
to  <-  match( connect$to, vertices$name)
 
# Basic usual argument
ggraph(mygraph, layout = 'dendrogram', circular = TRUE) + 
  geom_node_point(aes(filter = leaf, x = x*1.05, y=y*1.05)) +
  geom_conn_bundle(data = get_con(from = from, to = to), alpha=0.2, colour=""skyblue"", width=0.9) +
  geom_node_text(aes(x = x*1.1, y=y*1.1, filter = leaf, label=name, angle = angle, hjust=hjust), size=1.5, alpha=1) +
  theme_void() +
  theme(
    legend.position=""none"",
    plot.margin=unit(c(0,0,0,0),""cm""),
  ) +
  expand_limits(x = c(-1.2, 1.2), y = c(-1.2, 1.2))","<-,graph_from_data_frame,match,$,+,ggraph,geom_node_point,aes,*,geom_conn_bundle,get_con,geom_node_text,theme_void,theme,unit,c,expand_limits,-","ggraph,geom_node_point,geom_conn_bundle,get_con,geom_node_text"
311-add-labels-to-hierarchical-edge-bundling,unnamed-chunk-2-1,images/311-add-labels-to-hierarchical-edge-bundling/unnamed-chunk-2-1.png,"ggraph(mygraph, layout = 'dendrogram', circular = TRUE) + 
  geom_conn_bundle(data = get_con(from = from, to = to), alpha=0.2, width=0.9, aes(colour=..index..)) +
  scale_edge_colour_distiller(palette = ""RdPu"") +
  
  geom_node_text(aes(x = x*1.15, y=y*1.15, filter = leaf, label=name, angle = angle, hjust=hjust, colour=group), size=2, alpha=1) +
  
  geom_node_point(aes(filter = leaf, x = x*1.07, y=y*1.07, colour=group, size=value, alpha=0.2)) +
  scale_colour_manual(values= rep( brewer.pal(9,""Paired"") , 30)) +
  scale_size_continuous( range = c(0.1,10) ) +
  
  theme_void() +
  theme(
    legend.position=""none"",
    plot.margin=unit(c(0,0,0,0),""cm""),
  ) +
  expand_limits(x = c(-1.3, 1.3), y = c(-1.3, 1.3))","+,ggraph,geom_conn_bundle,get_con,aes,scale_edge_colour_distiller,geom_node_text,*,geom_node_point,scale_colour_manual,rep,brewer.pal,scale_size_continuous,c,theme_void,theme,unit,expand_limits,-","ggraph,geom_conn_bundle,get_con,geom_node_text,geom_node_point"
313-basic-circle-packing-with-several-levels,thecode2-1,images/313-basic-circle-packing-with-several-levels/thecode2-1.png,"# Libraries
library(ggraph)
library(igraph)
library(tidyverse)
 
# We need a data frame giving a hierarchical structure. Let's consider the flare dataset:
edges <- flare$edges
 
# Usually we associate another dataset that give information about each node of the dataset:
vertices <- flare$vertices
 
# Then we have to make a 'graph' object using the igraph library:
mygraph <- graph_from_data_frame( edges, vertices=vertices )
 
# Make the plot
ggraph(mygraph, layout = 'circlepack') + 
  geom_node_circle() +
  theme_void()","library,<-,$,graph_from_data_frame,+,ggraph,geom_node_circle,theme_void","ggraph,geom_node_circle"
313-basic-circle-packing-with-several-levels,thecode3a-1,images/313-basic-circle-packing-with-several-levels/thecode3a-1.png,"ggraph(mygraph, layout='dendrogram', circular=TRUE) + 
  geom_edge_diagonal() +
  theme_void() +
  theme(legend.position=""none"")","+,ggraph,geom_edge_diagonal,theme_void,theme","ggraph,geom_edge_diagonal"
313-basic-circle-packing-with-several-levels,thecode3b-1,images/313-basic-circle-packing-with-several-levels/thecode3b-1.png,"ggraph(mygraph, layout='dendrogram', circular=FALSE) + 
  geom_edge_diagonal() +
  theme_void() +
  theme(legend.position=""none"")","+,ggraph,geom_edge_diagonal,theme_void,theme","ggraph,geom_edge_diagonal"
313-basic-circle-packing-with-several-levels,thecode3c-1,images/313-basic-circle-packing-with-several-levels/thecode3c-1.png,"ggraph(mygraph, 'treemap', weight = size) + 
  geom_node_tile(aes(fill = depth), size = 0.25) +
  theme_void() +
  theme(legend.position=""none"")
","+,ggraph,geom_node_tile,aes,theme_void,theme","ggraph,geom_node_tile"
313-basic-circle-packing-with-several-levels,thecode3d-1,images/313-basic-circle-packing-with-several-levels/thecode3d-1.png,"ggraph(mygraph, 'partition', circular = TRUE) + 
  geom_node_arc_bar(aes(fill = depth), size = 0.25) +
  theme_void() +
  theme(legend.position=""none"")","+,ggraph,geom_node_arc_bar,aes,theme_void,theme","ggraph,geom_node_arc_bar"
313-basic-circle-packing-with-several-levels,thecode3e-1,images/313-basic-circle-packing-with-several-levels/thecode3e-1.png,"ggraph(mygraph) + 
  geom_edge_link() + 
  geom_node_point() +
  theme_void() +
  theme(legend.position=""none"")","+,ggraph,geom_edge_link,geom_node_point,theme_void,theme","ggraph,geom_edge_link,geom_node_point"
314-custom-circle-packing-with-several-levels,thecode2-1,images/314-custom-circle-packing-with-several-levels/thecode2-1.png,"# Libraries
library(ggraph)
library(igraph)
library(tidyverse)
library(viridis)
 
# We need a data frame giving a hierarchical structure. Let's consider the flare dataset:
edges <- flare$edges
vertices <- flare$vertices
mygraph <- graph_from_data_frame( edges, vertices=vertices )
 
# Control the size of each circle: (use the size column of the vertices data frame)
ggraph(mygraph, layout = 'circlepack', weight=size) + 
  geom_node_circle() +
  theme_void()","library,<-,$,graph_from_data_frame,+,ggraph,geom_node_circle,theme_void","ggraph,geom_node_circle"
314-custom-circle-packing-with-several-levels,thecode3a-1,images/314-custom-circle-packing-with-several-levels/thecode3a-1.png,"# Left: color depends of depth
p <- ggraph(mygraph, layout = 'circlepack', weight=size) + 
  geom_node_circle(aes(fill = depth)) +
  theme_void() + 
  theme(legend.position=""FALSE"")
p","<-,+,ggraph,geom_node_circle,aes,theme_void,theme","ggraph,geom_node_circle"
314-custom-circle-packing-with-several-levels,thecode3b-1,images/314-custom-circle-packing-with-several-levels/thecode3b-1.png,"# Adjust color palette: viridis
p + scale_fill_viridis()","+,scale_fill_viridis",
314-custom-circle-packing-with-several-levels,thecode3c-1,images/314-custom-circle-packing-with-several-levels/thecode3c-1.png,"# Adjust color palette: colorBrewer
p + scale_fill_distiller(palette = ""RdPu"") ","+,scale_fill_distiller",
314-custom-circle-packing-with-several-levels,thecode4a-1,images/314-custom-circle-packing-with-several-levels/thecode4a-1.png,"# Create a subset of the dataset (I remove 1 level)
edges <- flare$edges %>% 
  filter(to %in% from) %>% 
  droplevels()
vertices <- flare$vertices %>% 
  filter(name %in% c(edges$from, edges$to)) %>% 
  droplevels()
vertices$size <- runif(nrow(vertices))
 
# Rebuild the graph object
mygraph <- graph_from_data_frame( edges, vertices=vertices )
 
# left
ggraph(mygraph, layout = 'circlepack', weight=size ) + 
  geom_node_circle(aes(fill = depth)) +
  geom_node_text( aes(label=shortName, filter=leaf, fill=depth, size=size)) +
  theme_void() + 
  theme(legend.position=""FALSE"") + 
  scale_fill_viridis()","<-,%>%,$,filter,%in%,droplevels,c,runif,nrow,graph_from_data_frame,+,ggraph,geom_node_circle,aes,geom_node_text,theme_void,theme,scale_fill_viridis","ggraph,geom_node_circle,geom_node_text"
314-custom-circle-packing-with-several-levels,thecode4b-1,images/314-custom-circle-packing-with-several-levels/thecode4b-1.png,"# Right 
ggraph(mygraph, layout = 'circlepack', weight=size ) + 
  geom_node_circle(aes(fill = depth)) +
  geom_node_label( aes(label=shortName, filter=leaf, size=size)) +
  theme_void() + 
  theme(legend.position=""FALSE"") + 
  scale_fill_viridis()","+,ggraph,geom_node_circle,aes,geom_node_label,theme_void,theme,scale_fill_viridis","ggraph,geom_node_circle,geom_node_label"
315-hide-first-level-in-circle-packing,thecode3a-1,images/315-hide-first-level-in-circle-packing/thecode3a-1.png,"# Libraries
library(ggraph)
library(igraph)
library(tidyverse)
library(viridis)
 
# We need a data frame giving a hierarchical structure. Let's consider the flare dataset:
edges=flare$edges
vertices = flare$vertices
mygraph <- graph_from_data_frame( edges, vertices=vertices )
 
# Hide the first level (right)
ggraph(mygraph, layout = 'circlepack', weight=size) + 
  geom_node_circle(aes(fill = as.factor(depth), color = as.factor(depth) )) +
  scale_fill_manual(values=c(""0"" = ""white"", ""1"" = viridis(4)[1], ""2"" = viridis(4)[2], ""3"" = viridis(4)[3], ""4""=viridis(4)[4])) +
  scale_color_manual( values=c(""0"" = ""white"", ""1"" = ""black"", ""2"" = ""black"", ""3"" = ""black"", ""4""=""black"") ) +
  theme_void() + 
  theme(legend.position=""FALSE"") 
 ","library,=,$,<-,graph_from_data_frame,+,ggraph,geom_node_circle,aes,as.factor,scale_fill_manual,c,[,viridis,scale_color_manual,theme_void,theme","ggraph,geom_node_circle"
315-hide-first-level-in-circle-packing,thecode3b-1,images/315-hide-first-level-in-circle-packing/thecode3b-1.png,"# Second one: hide 2 first levels
ggraph(mygraph, layout = 'circlepack', weight=size) + 
  geom_node_circle(aes(fill = as.factor(depth), color = as.factor(depth) )) +
  scale_fill_manual(values=c(""0"" = ""white"", ""1"" = ""white"", ""2"" = magma(4)[2], ""3"" = magma(4)[3], ""4""=magma(4)[4])) +
  scale_color_manual( values=c(""0"" = ""white"", ""1"" = ""white"", ""2"" = ""black"", ""3"" = ""black"", ""4""=""black"") ) +
  theme_void() + 
  theme(legend.position=""FALSE"")","+,ggraph,geom_node_circle,aes,as.factor,scale_fill_manual,c,[,magma,scale_color_manual,theme_void,theme","ggraph,geom_node_circle"
315-hide-first-level-in-circle-packing,thecode2-1,images/315-hide-first-level-in-circle-packing/thecode2-1.png,"# Add the data.tree library
library(data.tree)

# Rebuild the data
edges <-flare$edges
vertices <- flare$vertices

# Transform it in a 'tree' format
tree <- FromDataFrameNetwork(edges)

# Then I can easily get the level of each node, and add it to the initial data frame:
mylevels <- data.frame( name=tree$Get('name'), level=tree$Get(""level"") )
vertices <- vertices %>% 
  left_join(., mylevels, by=c(""name""=""name""))

# Now we can add label for level1 and 2 only for example:
vertices <- vertices %>% 
  mutate(new_label=ifelse(level==2, shortName, NA))
mygraph <- graph_from_data_frame( edges, vertices=vertices )

# Make the graph
ggraph(mygraph, layout = 'circlepack', weight=size) + 
  geom_node_circle(aes(fill = as.factor(depth), color = as.factor(depth) )) +
  scale_fill_manual(values=c(""0"" = ""white"", ""1"" = viridis(4)[1], ""2"" = viridis(4)[2], ""3"" = viridis(4)[3], ""4""=viridis(4)[4])) +
  scale_color_manual( values=c(""0"" = ""white"", ""1"" = ""black"", ""2"" = ""black"", ""3"" = ""black"", ""4""=""black"") ) +
  geom_node_label( aes(label=new_label), size=4) +
  theme_void() + 
  theme(legend.position=""FALSE"", plot.margin = unit(rep(0,4), ""cm""))","library,<-,$,FromDataFrameNetwork,data.frame,%>%,left_join,c,mutate,ifelse,==,graph_from_data_frame,+,ggraph,geom_node_circle,aes,as.factor,scale_fill_manual,[,viridis,scale_color_manual,geom_node_label,theme_void,theme,unit,rep","ggraph,geom_node_circle,geom_node_label"
320-the-basis-of-bubble-plot,thecode-1,images/320-the-basis-of-bubble-plot/thecode-1.png,"# Libraries
library(ggplot2)
library(dplyr)

# The dataset is provided in the gapminder library
library(gapminder)
data <- gapminder %>% filter(year==""2007"") %>% dplyr::select(-year)

# Most basic bubble plot
ggplot(data, aes(x=gdpPercap, y=lifeExp, size = pop)) +
    geom_point(alpha=0.7)","library,<-,%>%,filter,==,select,-,+,ggplot,aes,geom_point",geom_point
320-the-basis-of-bubble-plot,thecode2-1,images/320-the-basis-of-bubble-plot/thecode2-1.png,"# Libraries
library(ggplot2)
library(dplyr)

# The dataset is provided in the gapminder library
library(gapminder)
data <- gapminder %>% filter(year==""2007"") %>% dplyr::select(-year)

# Most basic bubble plot
data %>%
  arrange(desc(pop)) %>%
  mutate(country = factor(country, country)) %>%
  ggplot(aes(x=gdpPercap, y=lifeExp, size = pop)) +
    geom_point(alpha=0.5) +
    scale_size(range = c(.1, 24), name=""Population (M)"")","library,<-,%>%,filter,==,select,-,+,arrange,desc,mutate,factor,ggplot,aes,geom_point,scale_size,c",geom_point
320-the-basis-of-bubble-plot,thecode3-1,images/320-the-basis-of-bubble-plot/thecode3-1.png,"# Libraries
library(ggplot2)
library(dplyr)

# The dataset is provided in the gapminder library
library(gapminder)
data <- gapminder %>% filter(year==""2007"") %>% dplyr::select(-year)

# Most basic bubble plot
data %>%
  arrange(desc(pop)) %>%
  mutate(country = factor(country, country)) %>%
  ggplot(aes(x=gdpPercap, y=lifeExp, size=pop, color=continent)) +
    geom_point(alpha=0.5) +
    scale_size(range = c(.1, 24), name=""Population (M)"")","library,<-,%>%,filter,==,select,-,+,arrange,desc,mutate,factor,ggplot,aes,geom_point,scale_size,c",geom_point
